,MiTFg,NGFR,Sox10,AXL,timepoint_id,Timepoint,drug_id,Drugs,dose_id,Doses,Rep
166,3.547195274,3.099552469,3.361983322,3.646078991,1,0.5 h,1,Vem,1,0 uM,1
167,3.588621168,2.958356732,3.702262998,3.734574222,1,0.5 h,1,Vem,1,0 uM,1
168,3.692070266,3.084213606,3.671804924,3.481354749,1,0.5 h,1,Vem,1,0 uM,1
169,3.681138249,2.968766555,3.583291757,3.625726331,1,0.5 h,1,Vem,1,0 uM,1
170,3.516971557,2.881010856,3.503154348,3.621804245,1,0.5 h,1,Vem,1,0 uM,1
171,3.526987764,2.835745418,3.504032533,3.252402651,1,0.5 h,1,Vem,1,0 uM,1
172,3.579611827,3.009852111,3.43374527,3.825108277,1,0.5 h,1,Vem,1,0 uM,1
173,3.553449851,2.994104969,3.552835484,3.712354322,1,0.5 h,1,Vem,1,0 uM,1
174,3.853950938,3.106085917,3.633271041,3.721276432,1,0.5 h,1,Vem,1,0 uM,1
175,3.491286032,2.935350859,3.352431439,3.671300436,1,0.5 h,1,Vem,1,0 uM,1
176,3.708552121,3.354425751,3.721986518,4.011340811,1,0.5 h,1,Vem,1,0 uM,1
177,3.818111829,3.121809397,3.829782882,3.71631933,1,0.5 h,1,Vem,1,0 uM,1
178,3.661935791,3.154845955,3.670176925,3.382545137,1,0.5 h,1,Vem,1,0 uM,1
179,3.661971923,3.16820728,3.731879822,3.51011177,1,0.5 h,1,Vem,1,0 uM,1
180,3.583117686,2.834780017,3.560125192,3.601220456,1,0.5 h,1,Vem,1,0 uM,1
181,3.760388718,2.89260369,3.731818233,3.480467556,1,0.5 h,1,Vem,1,0 uM,1
182,3.514986756,3.045195341,3.575617545,3.844125503,1,0.5 h,1,Vem,1,0 uM,1
183,3.462063818,2.939164953,3.586301949,3.632021189,1,0.5 h,1,Vem,1,0 uM,1
184,3.487416658,2.897114734,3.780675093,3.503504473,1,0.5 h,1,Vem,1,0 uM,1
185,3.769761183,3.047334099,3.675449975,3.724335274,1,0.5 h,1,Vem,1,0 uM,1
186,3.832166709,3.004699502,3.619005404,3.524452325,1,0.5 h,1,Vem,1,0 uM,1
187,3.580458065,2.847637853,3.496126159,3.529232801,1,0.5 h,1,Vem,1,0 uM,1
188,3.899683864,3.250937487,3.707063469,3.522104172,1,0.5 h,1,Vem,1,0 uM,1
189,3.577505886,2.929886144,3.698083431,4.038028138,1,0.5 h,1,Vem,1,0 uM,1
190,3.554191149,3.098413328,3.370881578,3.741768832,1,0.5 h,1,Vem,1,0 uM,1
191,3.866702741,3.28233194,3.805923358,3.45486747,1,0.5 h,1,Vem,1,0 uM,1
192,3.860347849,3.265415551,3.765407195,3.848710475,1,0.5 h,1,Vem,1,0 uM,1
193,3.924732183,2.858438723,3.501408282,3.492017813,1,0.5 h,1,Vem,1,0 uM,1
194,3.605006761,3.112728505,3.601144022,3.718873925,1,0.5 h,1,Vem,1,0 uM,1
195,3.51097659,2.969416209,3.573471155,3.69808746,1,0.5 h,1,Vem,1,0 uM,1
196,3.697253519,3.114377226,3.598258854,3.628952855,1,0.5 h,1,Vem,1,0 uM,1
197,3.878148465,3.112330955,3.803653853,3.668052407,1,0.5 h,1,Vem,1,0 uM,1
198,3.807585001,2.91025618,3.720275971,3.460172556,1,0.5 h,1,Vem,1,0 uM,1
199,3.796808375,2.813855851,3.546176556,3.757087745,1,0.5 h,1,Vem,1,0 uM,1
200,3.891014111,2.937267444,3.67334434,3.366512867,1,0.5 h,1,Vem,1,0 uM,1
201,3.622049057,2.79409117,3.811822749,3.370697669,1,0.5 h,1,Vem,1,0 uM,1
202,3.389559005,2.972946845,3.467364276,3.480641908,1,0.5 h,1,Vem,1,0 uM,1
203,3.835295329,3.392507087,3.624947627,3.636663331,1,0.5 h,1,Vem,1,0 uM,1
204,3.807555253,2.688308767,3.596576573,3.138305748,1,0.5 h,1,Vem,1,0 uM,1
205,3.53242604,3.136091943,3.60461488,3.882268691,1,0.5 h,1,Vem,1,0 uM,1
206,3.634845157,3.12947148,3.755508926,4.06006762,1,0.5 h,1,Vem,1,0 uM,1
207,3.460197412,2.93705846,3.480897928,3.347575069,1,0.5 h,1,Vem,1,0 uM,1
208,3.96525222,3.182388718,3.642427939,3.577111915,1,0.5 h,1,Vem,1,0 uM,1
209,3.876767731,2.851014626,3.624397222,3.081575104,1,0.5 h,1,Vem,1,0 uM,1
210,3.683175342,2.891146159,3.853698836,3.251739697,1,0.5 h,1,Vem,1,0 uM,1
211,3.793732341,3.033236699,3.815750057,3.80134288,1,0.5 h,1,Vem,1,0 uM,1
212,3.946083719,3.255674717,3.834956332,3.659701306,1,0.5 h,1,Vem,1,0 uM,1
213,3.743142823,2.972849792,3.565333251,3.468120528,1,0.5 h,1,Vem,1,0 uM,1
214,3.432967833,2.981033221,3.755542546,3.52741511,1,0.5 h,1,Vem,1,0 uM,1
215,3.86129804,3.332800679,3.533467744,3.593402753,1,0.5 h,1,Vem,1,0 uM,1
216,3.840794107,2.875407442,3.773097168,3.76356751,1,0.5 h,1,Vem,1,0 uM,1
217,3.839805595,2.933944217,3.62538063,3.717496031,1,0.5 h,1,Vem,1,0 uM,1
218,4.222783242,3.194327292,3.703489613,3.506418383,1,0.5 h,1,Vem,1,0 uM,1
219,3.611987494,3.165793443,3.684238099,3.75771174,1,0.5 h,1,Vem,1,0 uM,1
220,3.919214738,3.026276938,3.830455979,3.711913752,1,0.5 h,1,Vem,1,0 uM,1
221,3.591917768,3.032557115,3.45411755,3.461105044,1,0.5 h,1,Vem,1,0 uM,1
222,3.494217892,3.06830787,3.449328675,3.523149838,1,0.5 h,1,Vem,1,0 uM,1
223,3.925058375,2.878044781,3.550400004,3.398408439,1,0.5 h,1,Vem,1,0 uM,1
224,3.522373158,2.759083712,3.44621504,3.481674125,1,0.5 h,1,Vem,1,0 uM,1
225,3.566160191,2.99289022,3.37852306,3.855188572,1,0.5 h,1,Vem,1,0 uM,1
226,3.671473147,3.212333686,3.595264174,3.992805198,1,0.5 h,1,Vem,1,0 uM,1
227,3.825791233,3.038611744,3.56833382,3.754592592,1,0.5 h,1,Vem,1,0 uM,1
228,3.927101984,3.207055007,3.66441037,3.546301343,1,0.5 h,1,Vem,1,0 uM,1
229,3.670204315,2.729257052,3.528551771,3.177427071,1,0.5 h,1,Vem,1,0 uM,1
230,3.856474643,3.10554703,3.580800958,3.549251823,1,0.5 h,1,Vem,1,0 uM,1
231,3.489407005,3.191242648,3.553053903,3.8560173,1,0.5 h,1,Vem,1,0 uM,1
232,3.80000699,3.116861711,3.644624085,4.074646132,1,0.5 h,1,Vem,1,0 uM,1
233,3.510210307,3.037125647,3.70364041,4.019560821,1,0.5 h,1,Vem,1,0 uM,1
234,3.312946293,3.030255962,3.352014009,3.810058407,1,0.5 h,1,Vem,1,0 uM,1
235,3.693925119,2.63720149,3.585839722,3.243056312,1,0.5 h,1,Vem,1,0 uM,1
236,3.662160319,2.872227507,3.542429899,3.260262317,1,0.5 h,1,Vem,1,0 uM,1
237,3.681110923,2.876843267,3.522447019,3.544156548,1,0.5 h,1,Vem,1,0 uM,1
238,3.502436023,3.039571573,3.482199764,3.828384377,1,0.5 h,1,Vem,1,0 uM,1
239,3.622635305,2.98616721,3.782912738,3.840036845,1,0.5 h,1,Vem,1,0 uM,1
240,3.529948827,2.899061771,3.614441077,3.61958366,1,0.5 h,1,Vem,1,0 uM,1
241,3.598710935,3.138718442,3.745465553,3.288186437,1,0.5 h,1,Vem,1,0 uM,1
242,3.645923655,3.075508194,3.617223538,3.649385753,1,0.5 h,1,Vem,1,0 uM,1
243,3.633847855,3.101261116,3.470112125,3.669794266,1,0.5 h,1,Vem,1,0 uM,1
244,3.661201512,3.193080556,3.726538501,3.849575237,1,0.5 h,1,Vem,1,0 uM,1
245,3.615065739,2.654479566,3.457351067,3.467858622,1,0.5 h,1,Vem,1,0 uM,1
246,3.798646526,3.034304252,3.675055383,3.638302712,1,0.5 h,1,Vem,1,0 uM,1
247,3.784888738,3.085719785,3.677809645,3.706117966,1,0.5 h,1,Vem,1,0 uM,1
248,3.51295535,2.90567385,3.676336178,3.235517862,1,0.5 h,1,Vem,1,0 uM,1
